feedback_id,produto_id,cliente_id,nota_satisfacao,comentarios,data_feedback
1,6,109,4,Town piece customer then station south whatever recently technology.,2024-10-17
2,32,54,1,Community generation conference book democratic spend painting.,2024-08-25
3,5,250,2,Two interview drug cover attorney affect religious reduce including.,2023-05-23
4,39,50,3,Together skill commercial local account test home participant hour story policy very.,2022-12-21
5,34,145,3,Movement eight eye collection few consumer capital group.,2024-10-05
6,39,211,1,Color voice school product culture bad oil or thousand investment why help fact.,2024-08-15
7,12,52,3,A wish white leave wait impact.,2024-04-20
8,1,58,4,Range realize occur cup culture open per else foot.,2024-01-26
9,38,269,4,Small final seek tell listen amount accept candidate door.,2024-02-01
10,13,45,5,Light it home fund claim do across report hope.,2024-09-13
11,42,169,3,Buy question history nation can born.,2024-03-14
12,28,275,5,During head position itself smile eight property politics.,2023-08-09
13,20,299,1,Option open through decide executive fast card.,2023-05-19
14,3,100,1,Network medical itself computer news trial draw safe none.,2022-11-10
15,30,68,1,Mrs official later challenge week plant base final per.,2023-07-09
16,7,153,1,Participant clear development professional fine generation common edge effect.,2023-07-23
17,3,235,1,Allow life general easy myself none paper day personal none.,2024-07-18
18,17,9,5,Strategy wind marriage hand baby court what soldier wife recognize trip hour move.,2023-01-17
19,3,3,3,Speak political win future Mr itself build prevent series very police eight employee.,2022-11-02
20,6,22,3,Behavior defense fear star music the build let believe experience before between seat one.,2023-12-23
21,22,266,1,Real time century structure finally serve leader election.,2023-02-16
22,36,65,3,Successful scene effort let serious different claim involve.,2023-04-14
23,44,293,1,Single partner social choose exist time.,2023-11-14
24,38,132,2,Job thousand sure main method professional society to pass go will.,2022-10-20
25,41,290,3,Price relationship off agree hope place business industry off candidate market suddenly.,2023-04-28
26,34,226,2,To young particularly civil mission financial strong hot mind by.,2023-02-24
27,18,70,4,Probably evening civil behind perform nice administration cultural then.,2024-01-17
28,30,13,4,Technology officer arrive position worry upon garden soon set similar.,2023-09-27
29,10,178,1,Blue mouth attorney wear bill ability action.,2023-04-16
30,10,90,2,Involve age standard before day produce.,2023-09-16
31,15,127,5,Adult day likely agreement low machine concern they response.,2023-04-25
32,8,94,3,Mean this eight bill present accept base gun speech able week phone five.,2023-08-19
33,45,85,3,Contain its set sort hot each born affect join read however network risk.,2024-03-24
34,25,229,4,Audience bed until play finish no fall total tell season possible forward.,2023-04-09
35,32,157,1,Least growth suggest job face lose.,2024-08-28
36,4,57,5,Term cost investment maybe any street pattern himself one day baby name name.,2024-05-01
